id,japanese,japaneseAllHiragana,english,level
700,集めます,あつめます,收集,
701,捨てます,すてます,丢掉，舍弃,
702,換えます,かえます,交换，变换,
703,運転します,うんてんします,驾驶,
704,予約します,よやくします,预约,
705,見学します,けんがくします,参观见习,
706,ピアノ,ピアノ,钢琴,0
707,…メートル,…メートル,…公尺,
708,国際～,こくさい～,国际～,
709,現金,げんきん,现金,3
710,趣味,しゅみ,爱好，嗜好,1
711,日記,にっき,日记,0
712,［お］祈り,［お］いのり,祈祷（～をします：祈祷）,3
713,課長,かちょう,课长，科长,0
714,部長,ぶちょう,经理，部长,0
715,社長,しゃちょう,总经理，社长,0
716,登ります,のぼります,登，爬〔山〕［やまに～］［山に～］,
717,泊まります,とまります,住（饭店）［ホテルに～］,
718,掃除します,そうじします,打扫,
719,洗濯します,せんたくします,洗衣服,
720,練習します,れんしゅうします,练习,
721,なります,なります,成为,
722,眠い,ねむい,想睡，困,0
723,強い,つよい,强,2
724,弱い,よわい,弱,2
725,調子がいい,ちょうしがいい,情況好,
726,調子が悪い,ちょうしがわるい,情況差,
727,調子,ちょうし,情况，状态,0
728,ゴルフ,ゴルフ,高尔夫球（～をします：打高尔夫球）,1
729,相撲,すもう,相扑,0
730,パチンコ,パチンコ,小钢珠（～をします：打小钢珠）,0
731,お茶,おちゃ,茶道,0
732,日,ひ,日，日子,1
733,一度,いちど,一次,3
734,一度も,いちども,连一次也（表否定）,0
735,だんだん,だんだん,逐渐,0
736,もうすぐ,もうすぐ,马上,
737,おかげさまで,おかげさまで,托您的福（略带感谢意思的客气说法）,
738,要ります,いります,要，需要〔签证〕［ビザが～］,
739,調べます,しらべます,调查,
740,直します,なおします,修理，改正,
741,修理します,しゅうりします,修理,
742,電話します,でんわします,打电话,
743,僕,ぼく,我（男性用语，不如"わたし"礼貌）,1
744,君,きみ,你（男性对晚辈或同辈用，不如"あなた"礼貌）,0
745,～君,～くん,～君（男性称呼晚辈或同辈用，不如"さん"礼貌）,
746,うん,うん,对（不如"はい"礼貌）,1
747,ううん,ううん,不对（不如"いいえ"礼貌）,
748,サラリーマン,サラリーマン,薪水阶级，上班族,3
749,ことば,ことば,单字，语言,3
750,物価,ぶっか,物价,0
751,着物,きもの,和服（传统的日本服装）,0
752,ビザ,ビザ,签证,1
753,初め,はじめ,开始,0
754,終わり,おわり,结束,0
755,こっち,こっち,这边（不如"こちら"礼貌）,3
756,そっち,そっち,那边（不如"そちら"礼貌）,3
757,あっち,あっち,那边（不如"あちら"礼貌）,3
758,どっち,どっち,哪边（不如"どちら"礼貌）,1
759,この間,このあいだ,日前，前些天,0
760,みんなで,みんなで,大家一起,
761,～けど,～けど,但是（不如"が"正式）,
762,思います,おもいます,想，认为，觉得,
763,言います,いいます,说,
764,足ります,たります,足够,
765,勝ちます,かちます,赢，得胜,
766,負けます,まけます,输，落败,
767,あります,あります,举行（节庆）［おまつりが～］［お祭りが～］,
768,役に立ちます,やくにたちます,有用，起作用,
769,むだ［な］,むだ［な］,沒用〔的〕,0
770,不便［な］,ふべん［な］,不便〔的〕,1
771,同じ,おなじ,相同，一样,0
772,すごい,すごい,厉害（的）（有褒或贬的意思）,2
773,首相,しゅしょう,总理，首相,0
774,大統領,だいとうりょう,总统,3
775,政治,せいじ,政治,0
776,ニュース,ニュース,新闻,1
777,スピーチ,スピーチ,演讲（～をします：进行演讲）,2
778,試合,しあい,比赛,0
779,アルバイト,アルバイト,打工（～をします：打工）,3
780,意見,いけん,意见,1
781,［お］話,［お］はなし,讲话，演讲，故事,3
782,ユーモア,ユーモア,幽默,1
783,むだ,むだ,浪费,0
784,デザイン,デザイン,设计,2
785,交通,こうつう,交通,0
786,ラッシュ,ラッシュ,交通巅峰时间,1
787,最近,さいきん,最近,0
788,たぶん,たぶん,大概，可能,1
789,きっと,きっと,一定,0
790,ほんとうに,ほんとうに,真的，的确,0
791,そんなに,そんなに,并不（用于否定）,4
792,～について,～について,关于～,
793,しかたがありません。,しかたがありません。,没办法,
794,着ます,きます,穿（衬衫等）［シャツを～］,
795,はきます,はきます,穿〔鞋，裤子〕［くつを～］［靴を～］,
796,かぶります,かぶります,戴〔帽子等〕［ぼうしを～］［帽子を～］,
797,かけます,かけます,戴〔眼镜〕［めがねを～］［眼鏡を～］,
798,生まれます,うまれます,出生,
799,コート,コート,大衣，外套,1
800,スーツ,スーツ,西裝,1
801,セーター,セーター,毛衣,1
802,帽子,ぼうし,帽子,0
803,眼鏡,めがね,眼镜,1
804,よく,よく,经常,1
805,おめでとうございます。,おめでとうございます。,恭喜。（用于生日，婚礼，新年等时）,
806,聞きます,ききます,问〔老师〕［せんせいに～］［先生に～］,
807,回します,まわします,转动,
808,引きます,ひきます,拉,
809,変えます,かえます,改变，换,
810,触ります,さわります,摸，碰触〔门〕［ドアに～］,
811,出ます,でます,〔零钱〕出来［おつりが～］［お釣りが～］,
812,動きます,うごきます,（钟表）转动［とけいが～］［時計が～］,
813,歩きます,あるきます,走〔路〕［みちを～］［道を～］,
814,渡ります,わたります,过（桥）［はしを～］［橋を～］,
815,気をつけます,きをつけます,小心〔车辆〕，注意〔车辆〕［くるまに～］［車に～］,
816,引っ越しします,ひっこしします,搬家,
817,電気屋,でんきや,电器行,0
818,～屋,～や,经营某种店铺的人,
819,サイズ,サイズ,尺寸,1
820,音,おと,声音,2
821,機械,きかい,机械，机器,2
822,つまみ,つまみ,旋转钮,0
823,故障,こしょう,故障（～します：发生故障）,0
824,道,みち,道路,0
825,交差点,こうさてん,十字路口,0
826,信号,しんごう,红绿灯,0
827,角,かど,转角,1
828,橋,はし,桥,2
829,駐車場,ちゅうしゃじょう,停车场,0
830,…目,…め,第…,
831,［お］正月,［お］しょうがつ,新年,0
832,ごちそうさま［でした］。,ごちそうさま［でした］。,谢谢你的款待。（用于饮食后）,
833,くれます,くれます,给（我）,
834,連れて行きます,つれていきます,带（某人）去,
835,連れて来ます,つれてきます,带（某人）来,
836,送ります,おくります,送〔人〕［ひとを～］［人を～］,
837,紹介します,しょうかいします,介绍,
838,案内します,あんないします,带路，引路,
839,説明します,せつめいします,说明,
840,いれます,いれます,冲，泡〔咖啡〕［コーヒーを～］,
841,おじいさん／おじいちゃん,おじいさん／おじいちゃん,祖父，老爷爷,2
842,おばあさん／おばあちゃん,おばあさん／おばあちゃん,祖母，老奶奶,2
843,準備,じゅんび,准备（～します：做准备）,1
844,意味,いみ,意思,1
845,［お］菓子,［お］かし,糕点，点心,1
846,全部,ぜんぶ,全部,1
847,自分で,じぶんで,自己～,
848,考えます,かんがえます,思考，想,
849,着きます,つきます,到达，抵达（车站）［えきに～］［駅に～］,
850,留学します,りゅうがくします,留学,
851,取ります,とります,上（年纪）［としを～］［年を～］,
852,田舎,いなか,乡下，故乡,0
853,大使館,たいしかん,大使馆,3
854,グループ,グループ,组，群,2
855,チャンス,チャンス,机会,1
856,億,おく,亿,1
857,もし［～たら］,もし［～たら］,如果～,
858,いくら［～ても］,いくら［～ても］,无论～也，怎么～也,
